"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
G6255,대전광역시,유성구,시도,,원신흥로,01,,대전광역시 유성구 원신흥동 496,36.34021500,127.34295100,원신흥초 앞,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6256,대전광역시,유성구,시도,,문화원로,01,,대전광역시 유성구 장대동 348,36.36129500,127.33846100,장대초교 옆 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6257,대전광역시,유성구,시도,,상대서로,02,,대전광역시 유성구 상대동 485,36.34281200,127.33583100,상원초 뒤,02,50,,,,2020,대전광역시,042-120,2022-12-15
G6258,대전광역시,유성구,시도,,상대서로,02,,대전광역시 유성구 상대동 485,36.34258700,127.33269800,상원초 정문 앞,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6259,대전광역시,유성구,시도,,송림로,02,,대전광역시 유성구 하기동 536,36.38777100,127.32251100,하기초 옆 송림네거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6261,대전광역시,중구,시도,,유천로,01,,대전광역시 중구 태평동 385-10,36.32335600,127.39548300,태평초 정문 앞,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6265,대전광역시,중구,시도,,평촌로,02,,대전광역시 중구 태평동 389-7,36.32245700,127.38818200,태평교네거리,02,30,,,,2020,대전광역시,042-120,2022-12-15
G6278,대전광역시,중구,시도,,당디로,01,,대전광역시 중구 산성동 110-49,36.30958500,127.39327300,이화약국 앞 네거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6316,대전광역시,서구,시도,,제비네길,02,,대전광역시 서구 도마동 148-20,36.31572300,127.37632700,유천초 뒤 네거리,01,30,,,02,2020,대전광역시,042-120,2022-12-15
G6317,대전광역시,서구,시도,,정림동로,02,,대전광역시 서구 정림동 631,36.30386200,127.36591500,정림초 옆 수밋들공원삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6318,대전광역시,서구,시도,,정림로,02,,대전광역시 서구 정림동 641-1,36.30264200,127.36624700,정림초 앞 늘푸른(아) 상가앞,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6319,대전광역시,서구,시도,,복수중로,02,,대전광역시 서구 복수동 280-22,36.30831400,127.37503400,복수초 입구,01,30,,,02,2020,대전광역시,042-120,2022-12-15
G6320,대전광역시,서구,시도,,가장로,02,,대전광역시 서구 가장동 23-13,36.33145500,127.38867100,가장초 앞,01,30,,,02,2020,대전광역시,042-120,2022-12-15
G6321,대전광역시,서구,시도,,도산로,02,,대전광역시 서구 괴정동 48-48,36.33896600,127.38609600,백운초 입구,01,30,,,,2020,대전광역시,042-120,2022-12-15
G6322,대전광역시,서구,시도,,관저동로,02,,대전광역시 서구 관저동 1900-1,36.30643800,127.34084100,관저초 옆 관저중 4가,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6323,대전광역시,서구,시도,,변동로,02,,대전광역시 서구 변동 43-9,36.32352100,127.38472200,변동초 정문 입구 네거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6324,대전광역시,서구,시도,,중반길,03,,대전광역시 서구 변동 39-12,36.32581100,127.38620800,변동초 뒤 삼거리,01,30,,,02,2020,대전광역시,042-120,2022-12-15
G6325,대전광역시,서구,시도,,벌곡로,02,,대전광역시 서구 매노동 229-3,36.25054800,127.33640100,기성초 입구 버스정류장 앞,02,60,,,,2020,대전광역시,042-120,2022-12-15
G6326,대전광역시,서구,시도,,도솔로,02,,대전광역시 서구 도마동 164-28,36.31201900,127.37421900,삼육초 입구,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6327,대전광역시,서구,시도,,배재로,02,,대전광역시 서구 내동 186-27,36.33221600,127.37148800,서부초 입구 삼거리,02,30,,,,2020,대전광역시,042-120,2022-12-15
